Date,State,Confirmed,Predicted
2020/8/4,AK,61,-1
2020/8/5,AK,58,-1
2020/8/6,AK,40,-1
2020/8/7,AK,65,-1
2020/8/8,AK,85,-1
2020/8/9,AK,100,-1
2020/8/10,AK,66,-1
2020/8/11,AK,50,-1
2020/8/12,AK,66,-1
2020/8/13,AK,95,-1
2020/8/14,AK,119,-1
2020/8/15,AK,85,-1
2020/8/16,AK,106,-1
2020/8/17,AK,50,-1
2020/8/18,AK,67,-1
2020/8/19,AK,70,-1
2020/8/20,AK,85,-1
2020/8/21,AK,71,-1
2020/8/22,AK,91,-1
2020/8/23,AK,64,-1
2020/8/24,AK,70,-1
2020/8/25,AK,5,-1
2020/8/26,AK,50,-1
2020/8/27,AK,81,-1
2020/8/28,AK,122,-1
2020/8/29,AK,111,-1
2020/8/30,AK,51,-1
2020/8/31,AK,39,-1
2020/9/1,AK,34,-1
2020/9/2,AK,72,-1
2020/9/3,AK,106,-1
2020/9/4,AK,129,-1
2020/9/5,AK,98,-1
2020/9/6,AK,89,-1
2020/9/7,AK,34,-1
2020/9/8,AK,33,-1
2020/9/9,AK,65,-1
2020/9/10,AK,125,-1
2020/9/11,AK,108,-1
2020/9/12,AK,106,-1
2020/9/13,AK,62,-1
2020/9/14,AK,77,-1
2020/9/15,AK,43,-1
2020/9/16,AK,52,-1
2020/9/17,AK,105,-1
2020/9/18,AK,115,-1
2020/9/19,AK,85,-1
2020/9/20,AK,91,-1
2020/9/21,AK,71,-1
2020/9/22,AK,46,-1
2020/9/23,AK,54,-1
2020/9/24,AK,140,-1
2020/9/25,AK,118,-1
2020/9/26,AK,111,-1
2020/9/27,AK,115,-1
2020/9/28,AK,118,-1
2020/9/29,AK,125,-1
2020/9/30,AK,105,-1
2020/10/1,AK,131,-1
2020/10/2,AK,126,-1
2020/10/3,AK,147,-1
2020/10/4,AK,189,-1
2020/10/5,AK,211,-1
2020/10/6,AK,145,-1
2020/10/7,AK,128,-1
2020/10/8,AK,135,-1
2020/10/9,AK,180,-1
2020/10/10,AK,251,-1
2020/10/11,AK,258,-1
2020/10/12,AK,197,-1
2020/10/13,AK,155,-1
2020/10/14,AK,143,-1
2020/10/15,AK,165,-1
2020/10/16,AK,228,-1
2020/10/17,AK,214,-1
2020/10/18,AK,224,-1
2020/10/19,AK,204,-1
2020/10/20,AK,211,-1
2020/10/21,AK,210,-1
2020/10/22,AK,231,-1
2020/10/23,AK,277,-1
2020/10/24,AK,372,-1
2020/10/25,AK,529,-1
2020/10/26,AK,348,-1
2020/10/27,AK,383,-1
2020/10/28,AK,354,-1
2020/10/29,AK,364,-1
2020/10/30,AK,386,-1
2020/10/31,AK,444,-1
2020/11/1,AK,350,-1
2020/11/2,AK,351,-1
2020/11/3,AK,391,-1
2020/11/4,AK,411,-1
2020/11/5,AK,314,-1
2020/11/6,AK,525,-1
2020/11/7,AK,605,-1
2020/11/8,AK,518,-1
2020/11/9,AK,473,-1
2020/11/10,AK,530,-1
2020/11/11,AK,496,-1
2020/11/12,AK,478,-1
2020/11/13,AK,593,-1
2020/11/14,AK,747,-1
2020/11/15,AK,659,-1
